Order ID,User ID,Total Amount,Payment Status,Order Status,Created At
88,6,514997.0,Failed,Pending,2026-08-26 18:38:59+00:00
87,6,454296.0,pending,pending,2026-08-26 18:32:03+00:00
86,5,76700.0,pending,pending,2026-08-26 17:21:26+00:00
85,5,65000.0,Pending,Pending,2026-08-26 17:12:00+00:00
84,6,55000.0,Pending,Pending,2026-08-26 17:08:35+00:00
83,6,128998.0,Pending,Pending,2026-08-26 16:18:38+00:00
82,1,117998.0,Pending,Pending,2026-08-26 16:17:26+00:00
81,6,82598.8,pending,pending,2026-08-26 16:10:06+00:00
80,1,58999.0,Pending,Pending,2026-08-26 05:44:28+00:00
79,6,139238.0,Paid,Confirmed,2026-08-26 05:41:17+00:00
78,6,69618.8,pending,pending,2026-08-26 05:39:51+00:00
74,1,1000.0,Failed,Pending,2026-08-26 05:34:29+00:00
72,6,2360.0,pending,pending,2026-08-25 13:23:56+00:00
71,6,4128.82,pending,pending,2026-08-25 09:56:27+00:00
70,6,1180.0,pending,pending,2026-08-25 09:37:04+00:00
69,6,1180.0,pending,pending,2026-08-25 09:35:47+00:00
67,7,235996.0,Paid,Confirmed,2026-08-24 18:10:58+00:00
66,1,58999.0,Paid,Delivered,2026-08-24 17:58:30+00:00
65,6,128998.0,Paid,Confirmed,2026-08-24 17:39:37+00:00
64,8,57499.0,Paid,Confirmed,2026-08-24 17:20:58+00:00
63,4,74999.0,Pending,Pending,2026-08-24 17:20:43+00:00
62,5,2000.0,Failed,Pending,2026-08-24 17:14:58+00:00
61,6,82598.8,Failed,Pending,2026-08-19 18:30:56+00:00
60,6,165198.0,Paid,Confirmed,2026-08-19 18:27:04+00:00
59,6,88498.8,Paid,Confirmed,2026-08-19 18:20:56+00:00
58,6,302665.0,Paid,Confirmed,2026-08-19 18:13:42+00:00
57,6,233046.0,pending,pending,2026-08-19 18:08:01+00:00
56,4,74999.0,pending,pending,2026-08-19 17:29:28+00:00
55,3,1000.0,Pending,Pending,2026-08-19 17:24:18+00:00
54,3,1000.0,pending,pending,2026-08-19 17:20:59+00:00
53,3,1000.0,pending,pending,2026-08-19 17:11:02+00:00
52,3,1000.0,pending,pending,2026-08-19 17:00:52+00:00
51,3,1000.0,pending,pending,2026-08-19 16:55:53+00:00
50,3,1000.0,pending,pending,2026-08-19 16:50:30+00:00
49,5,2000.0,pending,pending,2026-08-19 16:30:33+00:00
48,3,1000.0,pending,pending,2026-08-19 16:09:06+00:00
47,8,57499.0,pending,pending,2026-08-19 15:54:19+00:00
46,8,56000.0,pending,pending,2026-08-19 15:43:43+00:00
45,4,74999.0,pending,pending,2026-08-19 15:43:13+00:00
44,5,1000.0,pending,pending,2026-08-19 15:28:11+00:00
43,6,188997.0,pending,pending,2026-08-19 15:13:36+00:00
42,4,74999.0,pending,pending,2026-08-19 15:13:26+00:00
41,4,74999.0,pending,pending,2026-08-19 14:36:28+00:00
40,6,188997.0,pending,pending,2026-08-19 14:36:23+00:00
39,4,74999.0,pending,pending,2026-08-19 14:36:02+00:00
33,6,306995.0,pending,pending,2026-08-19 13:51:59+00:00
32,6,117998.0,pending,pending,2026-08-19 13:51:59+00:00
31,6,1000.0,pending,pending,2026-08-19 13:51:59+00:00
30,6,69999.0,pending,pending,2026-08-19 13:51:59+00:00
29,6,133000.0,pending,pending,2026-08-19 13:51:59+00:00
28,6,79999.0,pending,pending,2026-08-19 13:51:59+00:00
27,6,1499.0,pending,pending,2026-08-19 13:51:59+00:00
26,3,65000.0,pending,pending,2026-08-19 13:51:59+00:00
25,6,58999.0,pending,pending,2026-08-19 13:51:59+00:00
24,6,203998.0,pending,pending,2026-08-19 13:51:59+00:00
23,6,218997.0,pending,pending,2026-08-19 13:51:59+00:00
22,6,567994.0,pending,pending,2026-08-19 13:51:59+00:00
21,6,262997.0,pending,pending,2026-08-19 13:51:59+00:00
20,6,65000.0,pending,pending,2026-08-19 13:51:59+00:00
19,6,195000.0,pending,pending,2026-08-19 13:51:59+00:00
18,3,65000.0,pending,pending,2026-08-19 13:51:59+00:00
17,6,65000.0,pending,pending,2026-08-19 13:51:59+00:00
16,6,130000.0,pending,pending,2026-08-19 13:51:59+00:00
15,6,130000.0,pending,pending,2026-08-19 13:51:59+00:00
14,6,65000.0,pending,pending,2026-08-19 13:51:59+00:00
13,3,65000.0,pending,pending,2026-08-19 13:51:59+00:00
12,1,65000.0,Paid,Confirmed,2026-08-19 13:51:59+00:00
11,1,65000.0,pending,pending,2026-08-19 13:51:59+00:00
10,1,65000.0,pending,pending,2026-08-19 13:51:59+00:00
9,1,65000.0,pending,pending,2026-08-19 13:51:59+00:00
8,1,130000.0,pending,pending,2026-08-19 13:51:59+00:00
7,1,455000.0,pending,pending,2026-08-19 13:51:59+00:00
6,1,390000.0,pending,pending,2026-08-19 13:51:59+00:00
5,1,1040000.0,pending,pending,2026-08-19 13:51:59+00:00
4,1,520000.0,pending,pending,2026-08-19 13:51:59+00:00
3,1,65000.0,Paid,Shipped,2026-08-19 13:51:59+00:00
2,1,325000.0,Paid,Confirmed,2026-08-19 13:51:59+00:00
1,2,6500.0,Failed,Pending,2026-08-19 13:51:59+00:00
